Epoch	Phase	Loss	Accuracy
1	train	0.3583	0.8313
1	val	0.1569	0.9394
2	train	0.1901	0.9232
2	val	0.1187	0.9570
3	train	0.1542	0.9401
3	val	0.1176	0.9563
4	train	0.1324	0.9490
4	val	0.1184	0.9564
5	train	0.1199	0.9549
5	val	0.1109	0.9563
6	train	0.1031	0.9612
6	val	0.0877	0.9674
7	train	0.0961	0.9656
7	val	0.0965	0.9643
8	train	0.0841	0.9699
8	val	0.1017	0.9622
9	train	0.0799	0.9713
9	val	0.0855	0.9690
10	train	0.0701	0.9746
10	val	0.0840	0.9696
11	train	0.0656	0.9772
11	val	0.1008	0.9648
12	train	0.0581	0.9799
12	val	0.0931	0.9682
13	train	0.0558	0.9807
13	val	0.1192	0.9587
14	train	0.0533	0.9813
14	val	0.0988	0.9660
15	train	0.0254	0.9921
15	val	0.1022	0.9685
16	train	0.0221	0.9925
16	val	0.0936	0.9713
17	train	0.0190	0.9939
17	val	0.0961	0.9713
18	train	0.0186	0.9946
18	val	0.0903	0.9737
19	train	0.0092	0.9970
19	val	0.0909	0.9735
20	train	0.0073	0.9976
20	val	0.0981	0.9745
