Epoch	Phase	Loss	Accuracy
1	train	0.6551	0.6136
1	val	0.6387	0.6489
2	train	0.6002	0.6901
2	val	0.5825	0.7093
3	train	0.5647	0.7306
3	val	0.5520	0.7444
4	train	0.5379	0.7586
4	val	0.5328	0.7673
5	train	0.5225	0.7751
5	val	0.5060	0.7924
6	train	0.5086	0.7915
6	val	0.5075	0.7864
7	train	0.4985	0.8034
7	val	0.4822	0.8183
8	train	0.4872	0.8143
8	val	0.5047	0.7975
9	train	0.4808	0.8210
9	val	0.4810	0.8194
10	train	0.4766	0.8279
10	val	0.4694	0.8348
11	train	0.4664	0.8392
11	val	0.4640	0.8386
12	train	0.4610	0.8430
12	val	0.4627	0.8407
13	train	0.4547	0.8498
13	val	0.4579	0.8472
14	train	0.4535	0.8525
14	val	0.4569	0.8458
15	train	0.4469	0.8592
15	val	0.4446	0.8611
16	train	0.4413	0.8655
16	val	0.4429	0.8633
17	train	0.4424	0.8657
17	val	0.4455	0.8598
18	train	0.4360	0.8711
18	val	0.4443	0.8604
19	train	0.4341	0.8727
19	val	0.4371	0.8673
20	train	0.4298	0.8764
20	val	0.4388	0.8688
