Epoch	Phase	Loss	Accuracy
1	train	0.6516	0.6159
1	val	0.6032	0.6839
2	train	0.5335	0.7304
2	val	0.5795	0.7013
3	train	0.4808	0.7674
3	val	0.3960	0.8154
4	train	0.4450	0.7924
4	val	0.4040	0.8126
5	train	0.4159	0.8077
5	val	0.3724	0.8268
6	train	0.3869	0.8240
6	val	0.3510	0.8397
7	train	0.3689	0.8337
7	val	0.3310	0.8506
8	train	0.3516	0.8430
8	val	0.3051	0.8694
9	train	0.3350	0.8531
9	val	0.2932	0.8700
10	train	0.3205	0.8562
10	val	0.2998	0.8660
11	train	0.3111	0.8639
11	val	0.2687	0.8807
12	train	0.3055	0.8667
12	val	0.2774	0.8808
13	train	0.2947	0.8720
13	val	0.2798	0.8781
14	train	0.2863	0.8765
14	val	0.2474	0.8931
15	train	0.2798	0.8796
15	val	0.2427	0.8944
16	train	0.2749	0.8821
16	val	0.2448	0.8955
17	train	0.2723	0.8835
17	val	0.2626	0.8827
18	train	0.2675	0.8839
18	val	0.2638	0.8847
19	train	0.2601	0.8885
19	val	0.2515	0.8962
20	train	0.2210	0.9079
20	val	0.2006	0.9155
