Epoch	Phase	Loss	Accuracy
1	train	0.6469	0.6191
1	val	0.6027	0.6674
2	train	0.5738	0.6983
2	val	0.5559	0.7103
3	train	0.5207	0.7393
3	val	0.4631	0.7756
4	train	0.4800	0.7663
4	val	0.4554	0.7864
5	train	0.4440	0.7900
5	val	0.5097	0.7645
6	train	0.4190	0.8042
6	val	0.4401	0.8088
7	train	0.3971	0.8138
7	val	0.3947	0.8321
8	train	0.3756	0.8264
8	val	0.4679	0.8143
9	train	0.3542	0.8397
9	val	0.5164	0.8014
10	train	0.3377	0.8486
10	val	0.4539	0.8195
11	train	0.3229	0.8565
11	val	0.6200	0.7985
12	train	0.2810	0.8780
12	val	0.4783	0.8325
13	train	0.2689	0.8842
13	val	0.7120	0.7954
14	train	0.2555	0.8901
14	val	0.4655	0.8376
15	train	0.2469	0.8939
15	val	0.4110	0.8497
16	train	0.2224	0.9056
16	val	0.4747	0.8487
17	train	0.2112	0.9102
17	val	0.6412	0.8261
